name,description,dosage,duration,targets,cautions,link,nutrients,sheet
ALOHA C Coffee,,,"1 sachet/jour, cure de 1–3 mois",,,,,Sheet1
Callomag,,,Cure de 2–3 mois,,,,,Sheet1
DTX Apple Pectin,,,Cure de 30 jours,,,,,Sheet1
Eye 3eye Plus,,,Cure de 1–3 mois,,,,,Sheet1
HRT,,,"Cure de 10–20 jours, renouvelable",,,,,Sheet1
Le’an-C Coffee,,,"1–2 sachets/jour, cure de 1–2 mois",,,,,Sheet1
Le’an-K Cocoa,,,"1 sachet/jour, cure de 1–3 mois",,,,,Sheet1
Le’an-Thai Tea,,,"1–2 fois/jour, cure de 1–2 mois",,,,,Sheet1
Royal Oil,,,Cure de 1–3 mois,,,,,Sheet1
VVIN Conditioner,,,Usage quotidien,,,,,Sheet1
VVIN Hair Shampoo,,,Usage quotidien,,,,,Sheet1
VVIN Shower Gel,,,Usage quotidien,,,,,Sheet1
VVIN Whitening Body Lotion,,,Usage quotidien,,,,,Sheet1
Wink Plus Collagen Cocktail,,,Cure de 30 jours minimum,,,,,Sheet1
Zunshine (dentifrice),,,Usage quotidien,,,,,Sheet1
